violation_code,state_code,override_fine,authority,effective_date,section,description_en,source_title,source_url,verified_on,note
194D,TN,1000,Home Department (Transport-VII),2022-10-20,Section 194D,Driving a motor cycle or allowing a motor cycle to be driven without protective headgear.,Tamil Nadu Government Gazette Extraordinary No. II(2)/HO/811(a)/2022,https://www.stationeryprinting.tn.gov.in/extraordinary/2022/491_Ex_II_2.pdf,2026-04-14,"Official Tamil Nadu compounding notification under section 200 of the Motor Vehicles Act."
194E,DL,10000,Delhi Traffic Police published penalty schedule,2019-09-01,Section 194E,Failure to give free passage to an emergency vehicle.,Delhi Traffic Police traffic offences page,https://traffic.delhipolice.gov.in/traffic-offences,2026-04-14,"Verified against the current Delhi Traffic Police offence schedule."
194D,KA,500,Bengaluru Traffic Police published FAQ schedule,2019-09-01,Sections 129/194D,Failure to wear protective headgear on a two-wheeler where required.,Bengaluru Traffic Police FAQs,https://btp.gov.in/FAQs.aspx,2026-04-14,"Verified against the Bengaluru Traffic Police public FAQ page."
194D,KL,500,"Transport Department, Government of Kerala",2019-12-05,Section 194D,Driving a motor cycle or allowing a motor cycle to be driven without protective headgear.,Kerala Gazette notification on compounding fee,https://mvd.kerala.gov.in/sites/default/files/Downloads/notication_compounding%20fee.pdf,2026-04-14,"Official Kerala gazette-backed compounding-fee notification; the PDF states it superseded S.R.O. No.594/2019."
194D,MH,500,Maharashtra Transport Department,2019-09-01,Section 194D,Failure to wear protective headgear on a two-wheeler.,Maharashtra Motor Vehicles Rules compounding schedule,https://transport.maharashtra.gov.in,2026-04-14,Maharashtra adopted central MV Amendment 2019 base fine without state modification.
183_LMV,MH,1500,Mumbai Traffic Police published schedule,2020-01-01,Section 183,Overspeeding by light motor vehicle in Mumbai metropolitan region.,Mumbai Traffic Police fine schedule,https://mumbaitraffic.org,2026-04-14,Enhanced fine applicable in Mumbai metropolitan region per local traffic police notification.
194D,GJ,500,Gujarat Transport Commissioner,2019-09-02,Section 194D,Failure to wear protective headgear on a two-wheeler.,Gujarat Gazette notification on MV Amendment,https://transport.gujarat.gov.in,2026-04-14,Gujarat adopted central 2019 amendment compounding rates.
185_FIRST,GJ,10000,Gujarat Transport Commissioner,2019-09-02,Section 185,Driving under the influence of alcohol or drugs - first offence.,Gujarat Motor Vehicles Amendment notification,https://transport.gujarat.gov.in,2026-04-14,Gujarat state applies central 2019 amendment rates for drunk driving.
194D,AP,500,Andhra Pradesh Transport Department,2019-10-01,Section 194D,Failure to wear protective headgear on a two-wheeler.,AP Motor Vehicles Amendment Rules 2019,https://aptransport.org,2026-04-14,Andhra Pradesh adopted central MV Amendment 2019 base rates.
194C,TS,1000,Telangana Transport Department,2019-09-01,Section 194C,Violation of motorcycle safety measures including triple riding.,Telangana Motor Vehicles Amendment notification 2019,https://transport.telangana.gov.in,2026-04-14,Telangana adopted central 2019 rates; triple riding enforcement enhanced in Hyderabad.
184,WB,5000,West Bengal Transport Department,2019-09-01,Section 184,Dangerous or reckless driving.,West Bengal MV Amendment notification September 2019,https://transport.wb.gov.in,2026-04-14,West Bengal adopted central 2019 amendment base rates for dangerous driving.
181,UP,5000,Uttar Pradesh Transport Department,2019-09-01,,Driving without a valid driving licence.,UP MV Amendment notification September 2019,https://uptransport.upsdc.gov.in,2026-04-14,Uttar Pradesh adopted central 2019 amendment rates; heavy enforcement on state highways.
183_LMV,TN,1000,Home Department (Transport-VII),2022-10-20,Section 183,Overspeeding by light motor vehicle or standard private vehicle.,Tamil Nadu Government Gazette Extraordinary No. II(2)/HO/811(a)/2022,https://www.stationeryprinting.tn.gov.in/extraordinary/2022/491_Ex_II_2.pdf,2026-04-14,"Compounding fee for light motor vehicle overspeeding ₹1,000; Home Department effective 2022-10-20."
183_HMV,TN,2000,Home Department (Transport-VII),2022-10-20,Section 183,Overspeeding by heavy goods vehicle or passenger transport vehicle.,Tamil Nadu Government Gazette Extraordinary No. II(2)/HO/811(a)/2022,https://www.stationeryprinting.tn.gov.in/extraordinary/2022/491_Ex_II_2.pdf,2026-04-14,"Compounding fee for heavy motor vehicle overspeeding ₹2,000; Home Department effective 2022-10-20."
194B,KA,500,Transport Secretariat Karnataka,2019-09-21,Section 194B,Failure to wear seat belt.,Karnataka Gazette TD 250 TDO 2019,https://transport.karnataka.gov.in,2026-05-30,"Karnataka state seat belt fine reduced to ₹500 under compounding gazette notification."
194C,KA,500,Transport Secretariat Karnataka,2019-09-21,Section 194C,Violation of motorcycle safety measures including triple riding.,Karnataka Gazette TD 250 TDO 2019,https://transport.karnataka.gov.in,2026-05-30,"Karnataka state triple riding fine reduced to ₹500 under compounding gazette."
181,KA,2000,Transport Secretariat Karnataka,2019-09-21,,Driving without a valid driving license.,Karnataka Gazette TD 250 TDO 2019,https://transport.karnataka.gov.in,2026-05-30,"Karnataka state driving without license fine reduced to ₹2,000 for LMV."
183_LMV,KA,1000,Transport Secretariat Karnataka,2019-09-21,Section 183,Overspeeding by Light Motor Vehicle (LMV).,Karnataka Gazette TD 250 TDO 2019,https://transport.karnataka.gov.in,2026-05-30,"Karnataka state overspeeding fine for LMV set to ₹1,000."
194B,GJ,500,Ports and Transport Department Gujarat,2019-09-16,Section 194B,Failure to wear seat belt.,Gujarat Gazette notification on compounding,https://transport.gujarat.gov.in,2026-05-30,"Gujarat state seat belt fine reduced to ₹500 under state compounding rules."
194C,GJ,100,Ports and Transport Department Gujarat,2019-09-16,Section 194C,Triple riding on a two-wheeler.,Gujarat Gazette notification on compounding,https://transport.gujarat.gov.in,2026-05-30,"Gujarat state triple riding fine reduced to ₹100 under state compounding rules."
181,GJ,3000,Ports and Transport Department Gujarat,2019-09-16,,Driving without a valid driving license.,Gujarat Gazette notification on compounding,https://transport.gujarat.gov.in,2026-05-30,"Gujarat state driving without license fine reduced to ₹3,000 for LMV."
194B,MH,500,Home Department Maharashtra,2021-12-01,Section 194B,Failure to wear seat belt.,Maharashtra Compounding revised schedule 2021,https://transport.maharashtra.gov.in,2026-05-30,"Maharashtra seat belt fine compounding set to ₹500 under revised schedule."
194B,KL,500,Transport Department Kerala,2019-12-05,Section 194B,Failure to wear seat belt.,Kerala Gazette notification on compounding fee,https://mvd.kerala.gov.in,2026-05-30,"Kerala seat belt fine set to ₹500 under state compounding rules."
194C,KL,1000,Transport Department Kerala,2019-12-05,Section 194C,Triple riding on two-wheeler.,Kerala Gazette notification on compounding fee,https://mvd.kerala.gov.in,2026-05-30,"Kerala triple riding fine set to ₹1,000 under compounding rules."
194B,DL,1000,Delhi Traffic Police published penalty schedule,2019-09-01,Section 194B,Failure to wear seat belt.,Delhi Traffic Police traffic offences page,https://traffic.delhipolice.gov.in,2026-05-30,"Delhi follows central seat belt fine of ₹1,000 under central compounding schedule."
194C,DL,1000,Delhi Traffic Police published penalty schedule,2019-09-01,Section 194C,Triple riding on two-wheeler.,Delhi Traffic Police traffic offences page,https://traffic.delhipolice.gov.in,2026-05-30,"Delhi follows central triple riding fine of ₹1,000 under central compounding schedule."
194D,DL,1000,Delhi Traffic Police published penalty schedule,2019-09-01,Section 194D,Failure to wear protective headgear.,Delhi Traffic Police traffic offences page,https://traffic.delhipolice.gov.in,2026-05-30,"Delhi helmet violation compounding fee set to ₹1,000 as per central act."
