violation_code,section,description,base_fine,base_fine_2w,base_fine_4w,base_fine_htv,base_fine_bus,repeat_fine,repeat_fine_2w,repeat_fine_4w,repeat_fine_htv,repeat_fine_bus,aliases
177,Section 177,General traffic rule violation where no specific penalty is prescribed,500,,,,,1500,,,,,
177A,Section 177A,Violation of road regulations or road markings,500,,,,,1000,,,,,
179,Section 179,Disobedience of lawful direction or refusal to share required information,2000,,,,,4000,,,,,
180,Sections 5/180,Allowing an unauthorised or unlicensed person to drive,5000,,,,,5000,,,,,
181,Sections 3/181,Driving without a valid driving licence,5000,,,,,10000,,,,,3/181
182,Section 182,Driving despite disqualification or furnishing materially false information,10000,,,,,10000,,,,,
183,Section 183,Overspeeding by heavy goods vehicle or passenger transport vehicle,2000,1000,2000,4000,4000,4000,2000,4000,8000,8000,112/183
184,Section 184,Dangerous or reckless driving including handheld device distraction,5000,,,,,10000,,,,,
185,Section 185,Driving under the influence of alcohol or drugs - first offence,10000,,,,,15000,,,,,DRUNK|DUI
192A,Sections 66(1)/192A,Using a transport vehicle without permit or beyond permit conditions,10000,,,,,10000,,,,,
194,Section 194,Overloading a goods carriage beyond permissible limit,,,,20000,,,,,20000,,
194A,Section 194A,Carrying excess passengers in a transport vehicle (per excess passenger),,,,,200,,,,,200,
194B,Section 194B,Failure to use seat belt or child restraint where required,1000,1000,1000,,,2000,,,,,
194C,Section 194C,Violation of motorcycle safety measures including triple riding,,1000,,,,,2000,,,,
194D,Section 194D,Failure to wear protective headgear on a two-wheeler,1000,1000,,,,2000,2000,,,,194D-HELMET|194D-SEATBELT
194E,Section 194E,Failure to give free passage to an emergency vehicle,10000,,,,,10000,,,,,
194F,Section 194F,Using horn unnecessarily or in a notified silence zone,1000,,,,,2000,,,,,
194G,Section 194G,School bus or educational institution vehicle safety contravention using a minimum doubled penalty placeholder,,,,,2000,,,,,4000,
196,Sections 146/196,Driving without valid insurance cover,2000,,,,,4000,,,,,
199,Section 199,Offence by company or person in charge where liability follows the underlying contravention,0,,,,,0,,,,,
199A,Section 199A,Juvenile driving offence attributed to guardian or owner,25000,,,,,25000,,,,,
201,Section 201,General penalty for contravening provisions where no specific penalty is prescribed,100,,,,,300,,,,,
206,Section 206,Power of police officer to arrest without warrant for certain offences under the Act,0,,,,,0,,,,,
207,Section 207,Power of police officer to detain vehicle used in contravention of the Act,0,,,,,0,,,,,
