state_code,violation_code,vehicle_class,base_fine,repeat_fine,section,description,note
AP,194B,,1000,,Section 194B,Failure to wear seat belt.,"Andhra Pradesh adopted central seat belt fine of ₹1,000.; Andhra Pradesh Transport Department; effective 2019-10-01; verified 2026-05-30; source https://aptransport.org"
AP,194C,,1000,,Section 194C,Triple riding on a two-wheeler.,"Andhra Pradesh adopted central triple riding fine of ₹1,000.; Andhra Pradesh Transport Department; effective 2019-10-01; verified 2026-05-30; source https://aptransport.org"
AP,194D,,500,,Section 194D,Failure to wear protective headgear on a two-wheeler.,Andhra Pradesh adopted central MV Amendment 2019 base rates.; Andhra Pradesh Transport Department; effective 2019-10-01; verified 2026-04-14; source https://aptransport.org
DL,181,,5000,,,Driving without a valid driving licence.,"Delhi follows central driving without license fine of ₹5,000.; Delhi Traffic Police published penalty schedule; effective 2019-09-01; verified 2026-05-30; source https://traffic.delhipolice.gov.in"
DL,194B,,1000,,Section 194B,Failure to wear seat belt.,"Delhi follows central seat belt fine of ₹1,000 under central compounding schedule.; Delhi Traffic Police published penalty schedule; effective 2019-09-01; verified 2026-05-30; source https://traffic.delhipolice.gov.in"
DL,194C,,1000,,Section 194C,Triple riding on two-wheeler.,"Delhi follows central triple riding fine of ₹1,000 under central compounding schedule.; Delhi Traffic Police published penalty schedule; effective 2019-09-01; verified 2026-05-30; source https://traffic.delhipolice.gov.in"
DL,194D,,1000,,Section 194D,Failure to wear protective headgear.,"Delhi helmet violation compounding fee set to ₹1,000 as per central act.; Delhi Traffic Police published penalty schedule; effective 2019-09-01; verified 2026-05-30; source https://traffic.delhipolice.gov.in"
DL,194E,,10000,,Section 194E,Failure to give free passage to an emergency vehicle.,Verified against the current Delhi Traffic Police offence schedule.; Delhi Traffic Police published penalty schedule; effective 2019-09-01; verified 2026-04-14; source https://traffic.delhipolice.gov.in/traffic-offences
GJ,181,,3000,,,Driving without a valid driving license.,"Gujarat state driving without license fine reduced to ₹3,000 for LMV.; Ports and Transport Department Gujarat; effective 2019-09-16; verified 2026-05-30; source https://transport.gujarat.gov.in"
GJ,185FIRST,,10000,,Section 185,Driving under the influence of alcohol or drugs - first offence.,Gujarat state applies central 2019 amendment rates for drunk driving.; Gujarat Transport Commissioner; effective 2019-09-02; verified 2026-04-14; source https://transport.gujarat.gov.in
